debate_id,side_swap_group_id,topic_id,model_pro,model_con,pro_participant_winner,con_participant_winner,same_verdict,both_choose_self,both_choose_opponent
prop_0156__grok-4.6-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0156__claude-fable-5-1-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0156,grok-4.6-high,claude-fable-5-1-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0160__gpt-6-astra-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0160__gpt-6-astra-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0160,gpt-6-astra-high,muse-spark-1.3-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0160__muse-spark-1.3-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0160__gpt-6-astra-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0160,muse-spark-1.3-high,gpt-6-astra-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0161__glm-5-3-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0161__glm-5-3-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0161,glm-5-3-high,muse-spark-1.3-high,glm-5-3-high,muse-spark-1.3-high,0,1,0
prop_0161__muse-spark-1.3-high__glm-5-3-high__s1__tpl_placement_active_20260813a,prop_0161__glm-5-3-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0161,muse-spark-1.3-high,glm-5-3-high,TIE,TIE,1,0,0
prop_0163__claude-sonnet-5-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0163__claude-sonnet-5-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0163,claude-sonnet-5-high,muse-spark-1.3-high,TIE,TIE,1,0,0
prop_0163__muse-spark-1.3-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0163__claude-sonnet-5-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0163,muse-spark-1.3-high,claude-sonnet-5-high,TIE,claude-sonnet-5-high,0,0,0
prop_0168__gpt-6-astra-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0168__gpt-6-astra-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0168,gpt-6-astra-high,grok-4.6-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0168__grok-4.6-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0168__gpt-6-astra-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0168,grok-4.6-high,gpt-6-astra-high,grok-4.6-high,TIE,0,0,0
prop_0176__claude-fable-5-1-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a,prop_0176__claude-fable-5-1-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0176,claude-fable-5-1-high,gpt-6-astra-high,claude-fable-5-1-high,gpt-6-astra-high,0,1,0
prop_0176__gpt-6-astra-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0176__claude-fable-5-1-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0176,gpt-6-astra-high,claude-fable-5-1-high,gpt-6-astra-high,claude-fable-5-1-high,0,1,0
prop_0193__glm-5-3-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0193__glm-5-3-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0193,glm-5-3-high,muse-spark-1.3-high,glm-5-3-high,muse-spark-1.3-high,0,1,0
prop_0193__muse-spark-1.3-high__glm-5-3-high__s1__tpl_placement_active_20260813a,prop_0193__glm-5-3-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0193,muse-spark-1.3-high,glm-5-3-high,muse-spark-1.3-high,TIE,0,0,0
prop_0197__claude-fable-5-1-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0197__claude-fable-5-1-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0197,claude-fable-5-1-high,grok-4.6-high,claude-fable-5-1-high,TIE,0,0,0
prop_0197__grok-4.6-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0197__claude-fable-5-1-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0197,grok-4.6-high,claude-fable-5-1-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0199__gpt-6-astra-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0199__gpt-6-astra-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0199,gpt-6-astra-high,muse-spark-1.3-high,gpt-6-astra-high,TIE,0,0,0
prop_0199__muse-spark-1.3-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0199__gpt-6-astra-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0199,muse-spark-1.3-high,gpt-6-astra-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0201__claude-opus-5-high__kimi-k3__s0__tpl_placement_active_20260320f,prop_0201__claude-opus-5-high__kimi-k3__tpl_placement_active_20260320f,prop_0201,claude-opus-5-high,kimi-k3,kimi-k3,kimi-k3,1,0,0
prop_0201__kimi-k3__claude-opus-5-high__s1__tpl_placement_active_20260320f,prop_0201__claude-opus-5-high__kimi-k3__tpl_placement_active_20260320f,prop_0201,kimi-k3,claude-opus-5-high,claude-opus-5-high,TIE,0,0,0
prop_0204__claude-fable-5-1-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0204__claude-fable-5-1-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0204,claude-fable-5-1-high,grok-4.6-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0204__grok-4.6-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0204__claude-fable-5-1-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0204,grok-4.6-high,claude-fable-5-1-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0206__glm-5-3-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0206__glm-5-3-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0206,glm-5-3-high,grok-4.6-high,TIE,grok-4.6-high,0,0,0
prop_0206__grok-4.6-high__glm-5-3-high__s1__tpl_placement_active_20260813a,prop_0206__glm-5-3-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0206,grok-4.6-high,glm-5-3-high,glm-5-3-high,glm-5-3-high,1,0,0
prop_0207__claude-fable-5-1-high__glm-5-3-high__s0__tpl_placement_active_20260813a,prop_0207__claude-fable-5-1-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0207,claude-fable-5-1-high,glm-5-3-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0207__glm-5-3-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0207__claude-fable-5-1-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0207,glm-5-3-high,claude-fable-5-1-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0209__claude-opus-5-high__glm-5-3-high__s0__tpl_placement_active_20260813a,prop_0209__claude-opus-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0209,claude-opus-5-high,glm-5-3-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0209__glm-5-3-high__claude-opus-5-high__s1__tpl_placement_active_20260813a,prop_0209__claude-opus-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0209,glm-5-3-high,claude-opus-5-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0214__gpt-6-astra-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0214__gpt-6-astra-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0214,gpt-6-astra-high,grok-4.6-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0214__grok-4.6-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0214__gpt-6-astra-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0214,grok-4.6-high,gpt-6-astra-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0215__claude-opus-5-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0215__claude-opus-5-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0215,claude-opus-5-high,muse-spark-1.3-high,claude-opus-5-high,TIE,0,0,0
prop_0215__muse-spark-1.3-high__claude-opus-5-high__s1__tpl_placement_active_20260813a,prop_0215__claude-opus-5-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0215,muse-spark-1.3-high,claude-opus-5-high,TIE,claude-opus-5-high,0,0,0
prop_0216__claude-sonnet-5-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a,prop_0216__claude-sonnet-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0216,claude-sonnet-5-high,gpt-6-astra-high,claude-sonnet-5-high,gpt-6-astra-high,0,1,0
prop_0216__gpt-6-astra-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0216__claude-sonnet-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0216,gpt-6-astra-high,claude-sonnet-5-high,gpt-6-astra-high,claude-sonnet-5-high,0,1,0
prop_0216__grok-4.6-high__kimi-k3__s0__tpl_placement_active_20260813a,prop_0216__grok-4.6-high__kimi-k3__tpl_placement_active_20260813a,prop_0216,grok-4.6-high,kimi-k3,TIE,TIE,1,0,0
prop_0216__kimi-k3__grok-4.6-high__s1__tpl_placement_active_20260813a,prop_0216__grok-4.6-high__kimi-k3__tpl_placement_active_20260813a,prop_0216,kimi-k3,grok-4.6-high,kimi-k3,grok-4.6-high,0,1,0
prop_0217__gpt-6-astra-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0217__gpt-6-astra-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0217,gpt-6-astra-high,grok-4.6-high,gpt-6-astra-high,TIE,0,0,0
prop_0217__grok-4.6-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0217__gpt-6-astra-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0217,grok-4.6-high,gpt-6-astra-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0220__claude-fable-5-1-high__kimi-k3__s0__tpl_placement_active_20260813a,prop_0220__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0220,claude-fable-5-1-high,kimi-k3,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0220__kimi-k3__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0220__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0220,kimi-k3,claude-fable-5-1-high,kimi-k3,kimi-k3,1,0,0
prop_0223__claude-fable-5-1-high__glm-5-3-high__s0__tpl_placement_active_20260813a,prop_0223__claude-fable-5-1-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0223,claude-fable-5-1-high,glm-5-3-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0223__glm-5-3-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0223__claude-fable-5-1-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0223,glm-5-3-high,claude-fable-5-1-high,TIE,claude-fable-5-1-high,0,0,0
prop_0224__claude-sonnet-5-high__kimi-k3__s0__tpl_placement_active_20260320f,prop_0224__claude-sonnet-5-high__kimi-k3__tpl_placement_active_20260320f,prop_0224,claude-sonnet-5-high,kimi-k3,kimi-k3,kimi-k3,1,0,0
prop_0224__kimi-k3__claude-sonnet-5-high__s1__tpl_placement_active_20260320f,prop_0224__claude-sonnet-5-high__kimi-k3__tpl_placement_active_20260320f,prop_0224,kimi-k3,claude-sonnet-5-high,TIE,TIE,1,0,0
prop_0229__claude-opus-5-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a,prop_0229__claude-opus-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0229,claude-opus-5-high,gpt-6-astra-high,claude-opus-5-high,gpt-6-astra-high,0,1,0
prop_0229__gpt-6-astra-high__claude-opus-5-high__s1__tpl_placement_active_20260813a,prop_0229__claude-opus-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0229,gpt-6-astra-high,claude-opus-5-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0231__claude-fable-5-1-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0231__claude-fable-5-1-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0231,claude-fable-5-1-high,muse-spark-1.3-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0231__muse-spark-1.3-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0231__claude-fable-5-1-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0231,muse-spark-1.3-high,claude-fable-5-1-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0233__claude-sonnet-5-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a,prop_0233__claude-sonnet-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0233,claude-sonnet-5-high,gpt-6-astra-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0233__gpt-6-astra-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0233__claude-sonnet-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0233,gpt-6-astra-high,claude-sonnet-5-high,gpt-6-astra-high,claude-sonnet-5-high,0,1,0
prop_0234__grok-4.6-high__kimi-k3__s0__tpl_placement_active_20260813a,prop_0234__grok-4.6-high__kimi-k3__tpl_placement_active_20260813a,prop_0234,grok-4.6-high,kimi-k3,TIE,TIE,1,0,0
prop_0234__kimi-k3__grok-4.6-high__s1__tpl_placement_active_20260813a,prop_0234__grok-4.6-high__kimi-k3__tpl_placement_active_20260813a,prop_0234,kimi-k3,grok-4.6-high,kimi-k3,kimi-k3,1,0,0
prop_0236__claude-fable-5-1-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0236__claude-fable-5-1-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0236,claude-fable-5-1-high,grok-4.6-high,grok-4.6-high,grok-4.6-high,1,0,0
prop_0236__grok-4.6-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0236__claude-fable-5-1-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0236,grok-4.6-high,claude-fable-5-1-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0239__claude-sonnet-5-high__glm-5-3-high__s0__tpl_placement_active_20260813a,prop_0239__claude-sonnet-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0239,claude-sonnet-5-high,glm-5-3-high,TIE,claude-sonnet-5-high,0,0,0
prop_0239__glm-5-3-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0239__claude-sonnet-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0239,glm-5-3-high,claude-sonnet-5-high,TIE,glm-5-3-high,0,0,0
prop_0240__claude-opus-5-high__glm-5-3-high__s0__tpl_placement_active_20260813a,prop_0240__claude-opus-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0240,claude-opus-5-high,glm-5-3-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0240__glm-5-3-high__claude-opus-5-high__s1__tpl_placement_active_20260813a,prop_0240__claude-opus-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0240,glm-5-3-high,claude-opus-5-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0248__gpt-6-astra-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0248__gpt-6-astra-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0248,gpt-6-astra-high,muse-spark-1.3-high,gpt-6-astra-high,TIE,0,0,0
prop_0248__muse-spark-1.3-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0248__gpt-6-astra-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0248,muse-spark-1.3-high,gpt-6-astra-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0252__claude-opus-5-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0252__claude-opus-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0252,claude-opus-5-high,grok-4.6-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0252__grok-4.6-high__claude-opus-5-high__s1__tpl_placement_active_20260813a,prop_0252__claude-opus-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0252,grok-4.6-high,claude-opus-5-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0254__claude-opus-5-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a,prop_0254__claude-opus-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0254,claude-opus-5-high,gpt-6-astra-high,claude-opus-5-high,gpt-6-astra-high,0,1,0
prop_0254__gpt-6-astra-high__claude-opus-5-high__s1__tpl_placement_active_20260813a,prop_0254__claude-opus-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0254,gpt-6-astra-high,claude-opus-5-high,gpt-6-astra-high,claude-opus-5-high,0,1,0
prop_0259__claude-opus-5-high__claude-sonnet-5-high__s0__tpl_placement_active_20260320f,prop_0259__claude-opus-5-high__claude-sonnet-5-high__tpl_placement_active_20260320f,prop_0259,claude-opus-5-high,claude-sonnet-5-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0259__claude-sonnet-5-high__claude-opus-5-high__s1__tpl_placement_active_20260320f,prop_0259__claude-opus-5-high__claude-sonnet-5-high__tpl_placement_active_20260320f,prop_0259,claude-sonnet-5-high,claude-opus-5-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0260__glm-5-3-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0260__glm-5-3-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0260,glm-5-3-high,grok-4.6-high,TIE,grok-4.6-high,0,0,0
prop_0260__grok-4.6-high__glm-5-3-high__s1__tpl_placement_active_20260813a,prop_0260__glm-5-3-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0260,grok-4.6-high,glm-5-3-high,glm-5-3-high,glm-5-3-high,1,0,0
prop_0261__claude-fable-5-1-high__claude-opus-5-high__s0__tpl_placement_active_20260813a,prop_0261__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0261,claude-fable-5-1-high,claude-opus-5-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0261__claude-opus-5-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0261__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0261,claude-opus-5-high,claude-fable-5-1-high,TIE,claude-fable-5-1-high,0,0,0
prop_0261__claude-opus-5-high__glm-5-3-high__s0__tpl_placement_active_20260813a,prop_0261__claude-opus-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0261,claude-opus-5-high,glm-5-3-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0261__glm-5-3-high__claude-opus-5-high__s1__tpl_placement_active_20260813a,prop_0261__claude-opus-5-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0261,glm-5-3-high,claude-opus-5-high,TIE,claude-opus-5-high,0,0,0
prop_0266__claude-fable-5-1-high__claude-sonnet-5-high__s0__tpl_placement_active_20260813a,prop_0266__claude-fable-5-1-high__claude-sonnet-5-high__tpl_placement_active_20260813a,prop_0266,claude-fable-5-1-high,claude-sonnet-5-high,claude-fable-5-1-high,claude-sonnet-5-high,0,1,0
prop_0266__claude-sonnet-5-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0266__claude-fable-5-1-high__claude-sonnet-5-high__tpl_placement_active_20260813a,prop_0266,claude-sonnet-5-high,claude-fable-5-1-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0268__claude-fable-5-1-high__claude-opus-5-high__s0__tpl_placement_active_20260813a,prop_0268__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0268,claude-fable-5-1-high,claude-opus-5-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0268__claude-fable-5-1-high__glm-5-3-high__s0__tpl_placement_active_20260813a,prop_0268__claude-fable-5-1-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0268,claude-fable-5-1-high,glm-5-3-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0268__claude-opus-5-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0268__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0268,claude-opus-5-high,claude-fable-5-1-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0268__glm-5-3-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0268__claude-fable-5-1-high__glm-5-3-high__tpl_placement_active_20260813a,prop_0268,glm-5-3-high,claude-fable-5-1-high,TIE,claude-fable-5-1-high,0,0,0
prop_0272__claude-sonnet-5-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a,prop_0272__claude-sonnet-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0272,claude-sonnet-5-high,gpt-6-astra-high,TIE,gpt-6-astra-high,0,0,0
prop_0272__gpt-6-astra-high__claude-sonnet-5-high__s1__tpl_placement_active_20260813a,prop_0272__claude-sonnet-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0272,gpt-6-astra-high,claude-sonnet-5-high,gpt-6-astra-high,claude-sonnet-5-high,0,1,0
prop_0274__claude-fable-5-1-high__kimi-k3__s0__tpl_placement_active_20260813a,prop_0274__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0274,claude-fable-5-1-high,kimi-k3,TIE,kimi-k3,0,0,0
prop_0274__kimi-k3__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0274__claude-fable-5-1-high__kimi-k3__tpl_placement_active_20260813a,prop_0274,kimi-k3,claude-fable-5-1-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0275__gpt-6-astra-high__kimi-k3__s0__tpl_placement_active_20260813a,prop_0275__gpt-6-astra-high__kimi-k3__tpl_placement_active_20260813a,prop_0275,gpt-6-astra-high,kimi-k3,gpt-6-astra-high,kimi-k3,0,1,0
prop_0275__kimi-k3__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0275__gpt-6-astra-high__kimi-k3__tpl_placement_active_20260813a,prop_0275,kimi-k3,gpt-6-astra-high,kimi-k3,gpt-6-astra-high,0,1,0
prop_0277__claude-opus-5-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0277__claude-opus-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0277,claude-opus-5-high,grok-4.6-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0277__gpt-6-astra-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0277__gpt-6-astra-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0277,gpt-6-astra-high,grok-4.6-high,gpt-6-astra-high,grok-4.6-high,0,1,0
prop_0277__grok-4.6-high__claude-opus-5-high__s1__tpl_placement_active_20260813a,prop_0277__claude-opus-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0277,grok-4.6-high,claude-opus-5-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0277__grok-4.6-high__gpt-6-astra-high__s1__tpl_placement_active_20260813a,prop_0277__gpt-6-astra-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0277,grok-4.6-high,gpt-6-astra-high,gpt-6-astra-high,gpt-6-astra-high,1,0,0
prop_0278__claude-fable-5-1-high__claude-opus-5-high__s0__tpl_placement_active_20260813a,prop_0278__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0278,claude-fable-5-1-high,claude-opus-5-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0278__claude-opus-5-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0278__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0278,claude-opus-5-high,claude-fable-5-1-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0280__grok-4.6-high__kimi-k3__s0__tpl_placement_active_20260813a,prop_0280__grok-4.6-high__kimi-k3__tpl_placement_active_20260813a,prop_0280,grok-4.6-high,kimi-k3,TIE,kimi-k3,0,0,0
prop_0280__kimi-k3__grok-4.6-high__s1__tpl_placement_active_20260813a,prop_0280__grok-4.6-high__kimi-k3__tpl_placement_active_20260813a,prop_0280,kimi-k3,grok-4.6-high,TIE,TIE,1,0,0
prop_0284__claude-opus-5-high__claude-sonnet-5-high__s0__tpl_placement_active_20260320f,prop_0284__claude-opus-5-high__claude-sonnet-5-high__tpl_placement_active_20260320f,prop_0284,claude-opus-5-high,claude-sonnet-5-high,claude-opus-5-high,TIE,0,0,0
prop_0284__claude-sonnet-5-high__claude-opus-5-high__s1__tpl_placement_active_20260320f,prop_0284__claude-opus-5-high__claude-sonnet-5-high__tpl_placement_active_20260320f,prop_0284,claude-sonnet-5-high,claude-opus-5-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0286__claude-opus-5-high__grok-4.6-high__s0__tpl_placement_active_20260813a,prop_0286__claude-opus-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0286,claude-opus-5-high,grok-4.6-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0286__grok-4.6-high__claude-opus-5-high__s1__tpl_placement_active_20260813a,prop_0286__claude-opus-5-high__grok-4.6-high__tpl_placement_active_20260813a,prop_0286,grok-4.6-high,claude-opus-5-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0288__claude-opus-5-high__gpt-6-astra-high__s0__tpl_placement_active_20260813a,prop_0288__claude-opus-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0288,claude-opus-5-high,gpt-6-astra-high,claude-opus-5-high,gpt-6-astra-high,0,1,0
prop_0288__gpt-6-astra-high__claude-opus-5-high__s1__tpl_placement_active_20260813a,prop_0288__claude-opus-5-high__gpt-6-astra-high__tpl_placement_active_20260813a,prop_0288,gpt-6-astra-high,claude-opus-5-high,gpt-6-astra-high,claude-opus-5-high,0,1,0
prop_0291__grok-4.6-high__kimi-k3__s0__tpl_placement_active_20260813a,prop_0291__grok-4.6-high__kimi-k3__tpl_placement_active_20260813a,prop_0291,grok-4.6-high,kimi-k3,kimi-k3,TIE,0,0,0
prop_0291__kimi-k3__grok-4.6-high__s1__tpl_placement_active_20260813a,prop_0291__grok-4.6-high__kimi-k3__tpl_placement_active_20260813a,prop_0291,kimi-k3,grok-4.6-high,kimi-k3,kimi-k3,1,0,0
prop_0293__claude-fable-5-1-high__claude-opus-5-high__s0__tpl_placement_active_20260813a,prop_0293__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0293,claude-fable-5-1-high,claude-opus-5-high,claude-fable-5-1-high,claude-fable-5-1-high,1,0,0
prop_0293__claude-opus-5-high__claude-fable-5-1-high__s1__tpl_placement_active_20260813a,prop_0293__claude-fable-5-1-high__claude-opus-5-high__tpl_placement_active_20260813a,prop_0293,claude-opus-5-high,claude-fable-5-1-high,claude-opus-5-high,claude-opus-5-high,1,0,0
prop_0294__grok-4.6-high__muse-spark-1.3-high__s0__tpl_placement_active_20260813a,prop_0294__grok-4.6-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0294,grok-4.6-high,muse-spark-1.3-high,TIE,grok-4.6-high,0,0,0
prop_0294__muse-spark-1.3-high__grok-4.6-high__s1__tpl_placement_active_20260813a,prop_0294__grok-4.6-high__muse-spark-1.3-high__tpl_placement_active_20260813a,prop_0294,muse-spark-1.3-high,grok-4.6-high,muse-spark-1.3-high,grok-4.6-high,0,1,0
